,id,type,locality,activation_date,latitude,longitude,lease_type,gym,lift,swimming_pool,negotiable,furnishing,parking,property_size,property_age,bathroom,facing,cup_board,floor,total_floor,amenities,water_supply,building_type,balconies,rent
1,ff8081815ee25e15015ee50004da2acd,BHK2,Bellandur,2018,12.92955671,77.6722797,ANYONE,0,1,0,1,SEMI_FURNISHED,BOTH,1400,4.0,2.0,NE,2.0,3.0,4.0,8,CORPORATION,AP,2.0,22000.0
2,ff80818163f29c9e0163f46770b873e7,BHK3,Thiruvanmiyur,2018,12.98287026,80.26201214,FAMILY,0,1,0,0,SEMI_FURNISHED,BOTH,1350,6.0,3.0,E,3.0,1.0,5.0,6,CORP_BORE,AP,3.0,28000.0
3,ff80818164b68a700164b74b1b247a1d,BHK1,Attiguppe,2018,12.95599061,77.53163369,FAMILY,0,0,0,1,SEMI_FURNISHED,TWO_WHEELER,600,3.0,1.0,E,1.0,1.0,2.0,0,CORPORATION,IH,0.0,8000.0
4,ff80818163b1faf00163b4b9b8a163b1,BHK3,Kodihalli,2017,12.96390329,77.64944586,FAMILY,0,0,0,1,SEMI_FURNISHED,BOTH,1500,15.0,3.0,E,4.0,0.0,0.0,3,CORPORATION,IH,1.0,45000.0
5,ff8081815f48e4aa015f4dd1a9c6696b,BHK1,"Seetharampalya,Hoodi",2018,12.9861959,77.7183141,FAMILY,1,1,1,1,SEMI_FURNISHED,BOTH,1080,0.0,2.0,E,1.0,3.0,5.0,8,CORP_BORE,AP,2.0,18000.0
6,ff808181647d728001647e3cd0ed458d,BHK3,"Narayanappa Garden,Whitefield",2018,12.9671442,77.7506621,ANYONE,1,1,1,1,FULLY_FURNISHED,BOTH,1895,5.0,3.0,NE,5.0,3.0,9.0,18,CORPORATION,AP,3.0,32000.0
7,ff80818164e9cd1b0164ea07d09114b7,BHK2,HSR Layout 5th Sector,2018,12.91741383,77.63176379,ANYONE,0,0,0,1,SEMI_FURNISHED,BOTH,1000,10.0,2.0,S,2.0,0.0,2.0,3,CORP_BORE,IH,0.0,22000.0
8,ff808181624e0deb01624e6b3426131c,BHK2,Banashankari,2018,12.92330118,77.55632407,ANYONE,0,0,0,0,SEMI_FURNISHED,NONE,900,10.0,2.0,S,2.0,0.0,1.0,4,CORPORATION,IH,0.0,10000.0
9,ff808181620eb61601620f1b79a42734,BHK2,Whitefield,2017,12.97269719,77.75188033,ANYONE,1,1,0,1,SEMI_FURNISHED,BOTH,1290,4.0,2.0,E,4.0,2.0,4.0,13,CORP_BORE,AP,2.0,19500.0
10,ff8081815c116660015c119a34fd0829,BHK2,RR Nagar,2017,12.91203861,77.51095016,FAMILY,0,0,0,1,SEMI_FURNISHED,BOTH,1200,2.0,2.0,E,4.0,1.0,2.0,0,CORPORATION,IF,1.0,12500.0
11,ff8081815f887e60015f8b497ac62da0,BHK2,ITPL Residential Flats,2017,12.9861748,77.7359562,ANYONE,1,1,0,1,FULLY_FURNISHED,FOUR_WHEELER,1300,8.0,2.0,N,2.0,1.0,4.0,13,CORPORATION,AP,2.0,32000.0
12,ff8081815b3ce753015b3deabfae2e70,BHK2,Raja Rajeshwari Nagar,2017,12.92503445,77.51711461,ANYONE,0,1,0,1,SEMI_FURNISHED,BOTH,930,7.0,2.0,E,2.0,1.0,4.0,11,CORPORATION,AP,1.0,11000.0
13,ff8081815efff8db015f0097a4a946bf,BHK2,"Prestige Shanthinikethan, Bengaluru, Karnataka, India",2018,12.9890022,77.7273703,FAMILY,1,1,1,0,SEMI_FURNISHED,FOUR_WHEELER,1418,4.0,2.0,E,2.0,11.0,14.0,12,CORP_BORE,AP,2.0,32500.0
14,ff808181645efb5c01645f8463e227fd,BHK1,Murugeshpalya,2018,12.95477496,77.65003747,BACHELOR,0,0,0,1,SEMI_FURNISHED,TWO_WHEELER,600,10.0,1.0,E,1.0,2.0,2.0,3,CORPORATION,IH,0.0,12000.0
15,ff808181620eb34b0162133b0dbe5f16,BHK2,Sheshadripuram,2018,12.98651659,77.57478136,FAMILY,0,0,0,1,NOT_FURNISHED,TWO_WHEELER,1200,2.0,1.0,E,0.0,1.0,3.0,2,CORP_BORE,IF,1.0,15000.0
